Zeitpunkt ('Y-m-d H:i:s');Graf-Moltke-Straße (Ostseite);Graf-Moltke-Straße (Westseite);Hastedter Brückenstraße;Langemarckstraße (Ostseite);Langemarckstraße (Westseite);Osterdeich;Radweg Kleine Weser;Schwachhauser Ring;Wachmannstraße auswärts (Süd);Wachmannstraße einwärts (Nord);Wilhelm-Kaisen-Brücke (Ost);Wilhelm-Kaisen-Brücke (West)
15.09.2015 00:00;1231;1283;2115;2558;2347;3743;3796;1680;3337;3014;7184;4170
16.09.2015 00:00;1221;1335;2103;2559;2263;3458;3650;1498;3223;2802;6995;3908
17.09.2015 00:00;1269;1365;1993;2563;2292;3565;3773;1612;3222;2819;7155;3989
18.09.2015 00:00;1332;1504;3034;3007;2488;4186;4676;2006;3652;3294;7816;4484
19.09.2015 00:00;844;998;1845;1725;1269;4042;2025;937;1733;1393;5190;2739
20.09.2015 00:00;575;662;1420;1187;1026;2300;1944;1212;1442;998;3407;2000
21.09.2015 00:00;1226;1381;2904;2603;2401;3785;3936;1722;3472;3029;7221;4579
22.09.2015 00:00;1181;1310;2638;2462;2241;3648;3708;1627;3348;2906;7074;4337
23.09.2015 00:00;1303;1489;2876;2706;2432;4122;4099;1681;3545;3127;7794;4889
24.09.2015 00:00;1312;1464;2967;2531;2519;3902;4188;1882;3785;3342;7664;4772
25.09.2015 00:00;1297;1450;2943;2494;2317;3979;4472;1668;3514;3220;7502;4793
26.09.2015 00:00;1107;1240;2715;1851;1429;4575;2794;1546;2249;1897;5781;3263
27.09.2015 00:00;863;893;2245;1427;1301;2772;2783;1967;1595;1169;3858;2282
28.09.2015 00:00;1323;1493;3281;2966;2654;4130;4525;1981;3882;3363;7556;4583
29.09.2015 00:00;1462;1622;3412;3208;2795;4339;4769;2092;4157;3692;8288;5283
30.09.2015 00:00;1471;1546;3413;3180;2827;4486;4687;2175;4098;3639;8198;5462
01.10.2015 00:00;1499;1625;3387;3132;2859;4510;4913;2072;4007;3691;8492;5340
02.10.2015 00:00;1393;1476;3374;3050;2544;4515;4558;1912;3752;3340;8231;5172
03.10.2015 00:00;927;1035;2496;1877;1472;3784;3434;1981;1907;1569;5247;2780
04.10.2015 00:00;917;978;2845;1924;1678;4443;3303;2279;2378;1777;5080;2924
05.10.2015 00:00;1409;1584;3442;3292;2924;4389;4760;2070;4274;3690;8403;5343
06.10.2015 00:00;1081;1207;2159;2260;2067;3370;3207;1374;2989;2662;6389;3869
07.10.2015 00:00;1328;1447;2765;2822;2567;4095;4058;1652;3737;3223;7761;4876
08.10.2015 00:00;1298;1579;2699;2733;2614;4040;3976;1707;3651;3207;7910;4678
09.10.2015 00:00;1243;1455;2803;2678;1758;3985;3766;1594;3483;3101;7545;4634
10.10.2015 00:00;981;1124;2255;2006;0;3363;2809;1510;2551;2071;5547;3246
11.10.2015 00:00;700;751;1776;1287;0;2366;2212;1544;1527;1070;3870;1861
12.10.2015 00:00;1303;1409;2748;2814;0;3678;4004;1704;3825;3236;7532;4498
13.10.2015 00:00;1290;1488;2795;2696;0;3623;3761;1701;3630;3276;7397;4295
14.10.2015 00:00;1120;1175;2067;2268;0;3206;3161;1396;3179;2741;6449;3695
15.10.2015 00:00;1026;1068;1759;2004;0;2873;2766;1221;2686;2356;5518;3179
16.10.2015 00:00;777;845;1467;1506;565;2395;2311;837;2125;1877;4503;2545
17.10.2015 00:00;798;978;1387;1343;1050;2648;1703;880;1670;1484;4006;2238
18.10.2015 00:00;459;521;762;811;770;1620;1176;682;1055;812;2598;1362
19.10.2015 00:00;1007;1130;2060;2279;2127;3116;3117;1319;3017;2660;5905;3873
20.10.2015 00:00;1060;1193;2057;2501;2158;3265;3226;1422;3195;2835;6589;3757
21.10.2015 00:00;1112;1221;2114;2511;2220;3295;3248;1392;3222;2870;6296;4071
22.10.2015 00:00;974;1114;1723;2242;1980;2993;2876;1133;2810;2445;5746;3646
23.10.2015 00:00;1042;1235;2070;2376;2109;3247;3318;1431;3024;2792;6144;3969
24.10.2015 00:00;851;987;1454;1479;1604;2742;2496;1029;2228;2110;4836;2837
25.10.2015 00:00;704;758;1606;1270;1232;2350;2268;1596;1822;1290;3592;2151
26.10.2015 00:00;1141;1396;2271;2493;2310;3377;3481;1585;3410;2995;6890;4034
27.10.2015 00:00;1229;1333;2245;2439;2357;3421;3358;1511;3359;3022;7159;4183
28.10.2015 00:00;1201;1465;2165;2273;2183;4115;3237;1491;3240;2848;7655;3944
29.10.2015 00:00;1189;1352;2023;2429;2332;3501;3324;1480;3369;2947;7215;4269
30.10.2015 00:00;1136;1262;2210;2330;2078;3244;3243;1561;3261;2944;6505;4269
31.10.2015 00:00;1124;1325;2113;1775;1415;3736;2318;1461;2458;2024;5824;3025
01.11.2015 00:00;910;1039;1913;1500;1380;2918;2603;1901;2162;1634;4527;2590
02.11.2015 00:00;1273;1404;2493;2636;2520;4065;3697;1624;3608;3150;7770;4362
03.11.2015 00:00;1332;1447;2426;2679;2483;4156;3736;1648;3646;3278;7894;4542
04.11.2015 00:00;1453;1538;2653;2870;2643;4252;4129;1838;3794;3319;8515;4742
05.11.2015 00:00;1360;1454;2417;2661;2543;3981;3908;1666;3732;3300;7689;4506
06.11.2015 00:00;1129;1250;1971;2282;2118;3677;3257;1297;3023;2743;6520;3938
07.11.2015 00:00;776;981;1302;1563;1177;2723;1913;1053;1939;1692;4693;2727
08.11.2015 00:00;828;867;1786;1268;1162;2818;2394;1815;1632;1298;4096;2185
09.11.2015 00:00;1193;1393;2326;2525;2394;3608;3550;1520;3495;3125;7011;4263
10.11.2015 00:00;1138;1220;2030;2341;2211;3799;3181;1408;3242;2902;6670;4109
11.11.2015 00:00;1187;1310;2197;2344;2171;4075;3382;1423;3227;2797;7264;4284
12.11.2015 00:00;1419;1588;2649;2841;2652;4298;4085;1884;3774;3274;8042;4903
13.11.2015 00:00;1165;1362;2170;2355;2027;3802;3303;1377;3021;2589;6748;4255
14.11.2015 00:00;766;868;1163;1403;1094;2372;1576;824;1763;1449;3934;2453
15.11.2015 00:00;302;302;334;374;469;1013;511;291;548;309;1512;783
16.11.2015 00:00;1047;1199;2065;2277;2125;3348;3265;1377;3137;2479;6407;4026
17.11.2015 00:00;1046;1208;1958;2129;2002;3555;3090;1293;2918;2310;6337;3836
18.11.2015 00:00;1040;1186;1489;1970;1789;2884;2716;1101;2705;2136;5730;3579
19.11.2015 00:00;1117;1261;1783;2176;1999;3174;2822;1286;2938;2444;6112;3704
20.11.2015 00:00;1098;1203;2053;2240;2036;3546;3267;1349;2959;2444;6445;4051
21.11.2015 00:00;672;773;1099;1130;924;2092;1510;824;1624;1251;3951;2204
22.11.2015 00:00;439;404;574;551;623;1180;859;569;837;563;2150;1103
23.11.2015 00:00;1067;1213;2303;2436;2265;3432;3226;1378;3057;2491;6695;3929
24.11.2015 00:00;948;1057;1779;1938;1974;2791;2749;1090;2608;2079;5742;3244
25.11.2015 00:00;1093;1215;1845;2198;2053;3407;3131;1254;2928;2345;6334;3807
26.11.2015 00:00;1257;1398;2248;2467;2338;3707;3474;1548;3492;2839;7244;4291
27.11.2015 00:00;1152;1318;2014;2436;2086;3434;3163;1219;3076;2501;6843;4089
28.11.2015 00:00;865;496;1454;1230;1175;3099;1660;955;1652;1242;4356;2394
29.11.2015 00:00;481;480;650;637;592;1476;967;573;867;576;2280;1279
30.11.2015 00:00;950;1006;1522;1765;1654;2847;2534;1013;2438;1962;5011;3219
01.12.2015 00:00;1099;1262;2024;2223;2163;3490;3251;1294;3142;2509;6213;4033
02.12.2015 00:00;1234;1382;2211;2466;2354;3834;3485;1388;3398;2816;6969;4440
03.12.2015 00:00;1353;1488;2366;2666;2534;4020;3813;1568;3620;2931;7206;4676
04.12.2015 00:00;1116;1227;1833;2210;1946;3469;2983;1150;2855;2420;6266;3967
05.12.2015 00:00;829;889;1071;1423;1152;2316;1700;759;1929;1523;4181;2713
06.12.2015 00:00;590;610;870;907;801;1755;1292;752;1184;811;2663;1533
07.12.2015 00:00;1149;1298;2165;2280;2263;3814;3405;1398;3280;2692;6651;4202
08.12.2015 00:00;1300;1480;2620;2610;2494;4440;4007;1658;3703;3111;7502;4654
09.12.2015 00:00;1269;1402;2453;2383;2400;4218;3734;1474;3675;3033;7220;4576
10.12.2015 00:00;1237;1390;2324;2364;2405;3790;3378;1485;3545;2897;7194;4277
11.12.2015 00:00;987;1126;1643;1700;1746;3058;2713;1024;2543;2066;5327;3319
12.12.2015 00:00;898;1033;1370;1314;1132;3046;1757;872;1851;1447;4475;2589
13.12.2015 00:00;612;620;1172;957;862;2294;1679;999;1307;891;3048;1695
14.12.2015 00:00;1209;1294;2087;2332;3092;3318;3271;1391;3348;2683;6825;4067
15.12.2015 00:00;1312;1367;2329;2456;2327;3846;3301;1425;3639;2937;7091;4304
16.12.2015 00:00;1233;1262;2005;2340;2086;3510;3182;1334;3253;2667;6553;4112
17.12.2015 00:00;1313;1399;2152;2638;2322;3713;3594;1463;3546;2809;7065;4479
18.12.2015 00:00;1265;1292;2135;2476;2229;3749;3374;1319;3435;2862;7169;4342
19.12.2015 00:00;971;1054;1335;1687;1301;2812;2009;984;2429;1915;4825;3070
20.12.2015 00:00;655;691;1194;1124;1052;2265;1869;1105;1573;1104;3446;2052
21.12.2015 00:00;1167;1342;2032;2394;2078;3172;2991;1247;3231;2696;6149;4190
22.12.2015 00:00;1028;1131;1642;1970;1757;2812;2769;1058;2759;2232;5436;3680
23.12.2015 00:00;988;1088;1341;1861;1555;2592;2363;920;2710;2077;5059;2925
24.12.2015 00:00;562;582;739;718;601;1162;1165;680;1170;882;2332;1455
25.12.2015 00:00;358;397;720;456;384;1221;890;745;561;390;1453;757
26.12.2015 00:00;388;449;692;498;456;1092;933;741;695;555;1696;838
27.12.2015 00:00;449;450;828;659;571;1417;1093;793;862;603;2026;1092
28.12.2015 00:00;712;828;1329;1501;1304;1981;1985;831;1874;1501;3839;2517
29.12.2015 00:00;729;817;1394;1520;1228;2067;1953;848;1938;1524;4001;2594
30.12.2015 00:00;842;919;1462;1508;1294;2126;2150;1023;2023;1571;4142;2762
31.12.2015 00:00;482;604;782;753;1798;1435;1037;666;966;791;2460;1323
01.01.2016 00:00;503;438;865;642;2306;1562;1055;962;769;429;1920;918
02.01.2016 00:00;485;586;723;836;8842;949;995;545;1131;932;2439;1363
03.01.2016 00:00;154;99;258;268;3237;369;208;208;251;153;830;367
04.01.2016 00:00;185;127;651;571;8433;770;455;270;585;482;1626;943
05.01.2016 00:00;125;59;467;397;2841;256;237;167;268;257;1043;652
06.01.2016 00:00;122;105;430;352;1691;472;222;159;281;238;1037;610
07.01.2016 00:00;206;159;632;466;13162;736;282;275;417;374;1403;784
08.01.2016 00:00;389;431;700;769;2489;1488;188;396;821;739;2416;1337
09.01.2016 00:00;493;507;764;791;3640;1626;344;434;997;811;2654;1512
10.01.2016 00:00;411;438;771;557;2373;1553;383;543;779;506;2169;1054
11.01.2016 00:00;993;1065;1973;1963;1856;3511;1690;1145;2739;2194;5520;3363
12.01.2016 00:00;1026;1104;1948;1936;1837;3403;2286;1159;2866;2331;5455;3350
13.01.2016 00:00;1020;1155;1742;1815;1760;3116;2494;1091;2718;2249;5440;3364
14.01.2016 00:00;887;1038;1431;1685;1652;2851;2098;1045;2286;1844;4887;2803
15.01.2016 00:00;965;1056;1431;1769;1599;2809;2295;944;2475;2001;5105;3043
16.01.2016 00:00;496;519;605;861;894;1377;891;516;1077;834;2667;1480
17.01.2016 00:00;295;271;416;391;11863;863;260;363;503;339;1455;747
18.01.2016 00:00;793;898;1379;1320;2786;2616;558;824;1992;1611;4091;2358
19.01.2016 00:00;740;823;1383;1280;8254;2455;491;799;1816;1526;3752;2207
20.01.2016 00:00;485;489;945;906;6835;1801;504;583;1192;912;2908;1712
21.01.2016 00:00;493;536;873;896;3464;1713;412;670;1272;1019;2595;1561
22.01.2016 00:00;489;543;829;918;9994;1843;358;612;1262;1029;2794;1635
23.01.2016 00:00;437;496;568;758;1506;1362;323;493;922;739;2222;1095
24.01.2016 00:00;468;439;703;623;589;1450;892;668;825;555;2039;1048
25.01.2016 00:00;1029;1179;2000;1969;1823;3173;3039;1260;2912;2315;5864;3577
26.01.2016 00:00;1121;1313;2290;2182;2028;3397;3235;1465;3121;2574;6364;3825
27.01.2016 00:00;961;1051;1758;1850;1841;3074;2568;1091;2587;2070;5580;3233
28.01.2016 00:00;1037;1195;1821;1956;1749;3174;2849;1312;2726;2290;5539;3570
29.01.2016 00:00;852;975;1337;1621;1459;2249;2069;900;2225;1848;4598;2918
30.01.2016 00:00;514;606;610;611;556;1671;777;377;789;643;2634;1263
31.01.2016 00:00;508;496;821;616;675;1472;1189;759;886;663;2324;1251
01.02.2016 00:00;943;1052;1586;1777;1627;2590;2516;989;2480;1967;5040;3101
02.02.2016 00:00;1068;1175;1672;1835;1727;2917;2689;1126;2740;2235;5495;3351
03.02.2016 00:00;1053;1085;1885;1983;1851;3112;2807;1128;2818;2281;5477;3426
04.02.2016 00:00;915;1005;1527;1671;1504;2716;2445;1058;2373;1946;5006;2894
05.02.2016 00:00;860;1072;1500;1488;1495;2597;2199;937;2226;1825;4697;2742
06.02.2016 00:00;747;841;1129;1116;1038;2121;1621;955;1729;1352;3618;2063
07.02.2016 00:00;553;611;1060;745;747;1778;1542;1109;1073;777;2584;1356
08.02.2016 00:00;863;1035;1357;1552;1584;2308;2212;934;2167;1769;4640;2693
09.02.2016 00:00;986;1035;1514;1425;1584;2535;2449;974;2411;1963;4907;2907
10.02.2016 00:00;926;1066;1595;1691;1597;2648;2591;1018;2478;1963;5028;2984
11.02.2016 00:00;1087;1228;1901;2053;1876;3266;3057;1310;2901;2472;6003;3624
12.02.2016 00:00;1038;1135;1808;1963;1812;3079;2800;1173;2662;2195;5832;3478
13.02.2016 00:00;861;991;1494;1305;948;3024;1649;978;1549;1262;4266;2092
14.02.2016 00:00;285;290;368;437;427;859;507;298;576;351;1541;790
15.02.2016 00:00;838;933;1392;1576;1646;2515;2152;868;2181;1766;4886;2682
16.02.2016 00:00;1022;1171;2029;1970;3383;3048;2951;1222;2731;2254;5912;3344
17.02.2016 00:00;1060;1141;2011;1948;10592;2999;3017;1287;2768;2206;5742;3428
18.02.2016 00:00;1070;1160;1668;1945;3057;2952;2853;1303;2682;2191;5766;3335
19.02.2016 00:00;884;1063;1541;1703;1601;2902;2444;970;2360;1945;5378;2939
20.02.2016 00:00;552;564;592;774;694;1390;1021;468;928;686;2475;1296
21.02.2016 00:00;289;297;430;358;407;868;570;402;508;369;1378;713
22.02.2016 00:00;853;964;1377;1617;1488;2442;2298;887;2184;1761;4583;2774
23.02.2016 00:00;1064;1130;1973;2023;1891;3343;3102;1292;2841;2322;5649;3118
24.02.2016 00:00;1001;1199;1799;1847;2164;3056;2829;1293;2795;2239;5590;3378
25.02.2016 00:00;1090;1231;1788;1895;4342;3315;2821;1258;2758;2217;5769;3419
26.02.2016 00:00;1016;1133;1835;1938;3845;3159;2884;1193;2542;2184;5816;3389
27.02.2016 00:00;887;1061;1683;1267;1135;3279;1963;1167;1790;1339;4362;2390
28.02.2016 00:00;619;636;1412;836;2095;2527;1904;1268;1144;868;3192;1509
29.02.2016 00:00;1085;1149;2284;2128;2535;3072;3217;1371;3062;2505;6048;3848
01.03.2016 00:00;1037;1161;1909;1850;3372;2867;2853;1190;2778;2255;5739;3371
02.03.2016 00:00;969;1050;1651;1677;1603;2742;2612;1026;2517;2050;4892;3132
03.03.2016 00:00;1000;1094;1527;1691;1633;2704;2563;1049;2444;1933;4889;3040
04.03.2016 00:00;1011;1069;1724;1781;1706;2604;2666;1141;2564;2050;5282;3229
05.03.2016 00:00;690;776;1004;952;778;2322;1263;669;1165;981;3280;1821
06.03.2016 00:00;518;573;1029;844;834;1775;1431;990;1122;825;2448;1386
07.03.2016 00:00;1071;1187;2148;2146;2065;3132;3159;1298;2962;2426;6048;3796
08.03.2016 00:00;1096;1207;1958;2021;2050;3142;3189;1270;2968;2402;5968;3636
09.03.2016 00:00;1126;1322;2385;2371;2316;3378;3590;1438;3232;2723;6490;4104
10.03.2016 00:00;1150;1354;2138;2296;2136;3351;3221;1405;3115;2522;6257;3961
11.03.2016 00:00;1058;1159;2061;2223;2029;3137;3172;1224;2779;2378;6022;3789
12.03.2016 00:00;862;940;1438;1561;1237;2487;2052;1194;1898;1519;4272;2621
13.03.2016 00:00;723;715;1297;1046;1008;1967;1841;1267;1241;976;2870;1620
14.03.2016 00:00;1075;1243;2373;2314;2337;3141;923;1337;3070;2544;6098;4004
15.03.2016 00:00;1145;1315;2244;2297;2143;3356;138;1490;3218;2719;5892;3903
16.03.2016 00:00;1228;1356;2625;2427;2259;3712;688;1550;3387;2911;6425;4382
17.03.2016 00:00;1301;1506;2724;2547;2520;3811;2512;1735;3530;2904;6835;4479
18.03.2016 00:00;1013;1116;1768;1994;1720;2779;2331;1126;2580;2200;5365;3477
19.03.2016 00:00;797;973;1699;1373;1135;3183;1635;927;1716;1304;4370;2297
20.03.2016 00:00;572;620;1083;1081;1031;1966;1605;886;1388;1017;3055;1802
21.03.2016 00:00;763;863;1609;1847;1715;2332;2283;961;2254;1891;4639;3068
22.03.2016 00:00;829;904;1749;1873;1765;2619;2359;1055;2357;1983;4861;3195
23.03.2016 00:00;882;940;1879;1941;1794;2651;2478;1158;2504;2078;5198;3420
24.03.2016 00:00;841;955;1781;1873;1760;2507;2502;1155;2419;2066;4955;3294
25.03.2016 00:00;304;298;497;497;429;1102;666;338;562;397;1607;846
26.03.2016 00:00;776;895;2009;1324;1170;2732;2216;1226;1719;1501;4096;2380
27.03.2016 00:00;377;396;746;551;512;1215;1061;599;666;449;1734;944
28.03.2016 00:00;360;391;669;486;514;861;902;652;706;495;1577;811
29.03.2016 00:00;688;769;1375;1568;1440;2125;2143;892;2071;1755;4279;2754
30.03.2016 00:00;871;993;1689;1898;1683;2573;2642;1162;2433;2019;5132;3166
31.03.2016 00:00;1027;1016;2183;2232;2007;3084;3153;1368;2912;2395;5675;3777
01.04.2016 00:00;1161;1285;2571;2375;2128;3555;3748;1565;3067;2591;6270;3988
02.04.2016 00:00;1021;1114;2831;1950;1558;3742;3435;1686;2209;1890;5503;3252
03.04.2016 00:00;873;860;2843;1470;1420;3317;3429;2429;1639;1218;4415;2221
04.04.2016 00:00;1349;1535;3260;2956;2565;4133;4430;1883;3825;3105;7629;4715
05.04.2016 00:00;1034;1069;2242;2096;2082;3308;3350;1320;2912;2392;6353;3557
06.04.2016 00:00;1309;1386;2704;2617;2477;3668;3818;1674;3498;2872;7345;4444
07.04.2016 00:00;1259;1445;2545;2514;2373;3630;3798;1608;3456;2901;7101;4389
08.04.2016 00:00;1164;1314;2461;2442;2340;3634;3745;1511;3137;2673;6960;4234
09.04.2016 00:00;1132;1479;2901;1953;1600;4873;3314;1692;2254;1824;6280;3366
10.04.2016 00:00;819;808;2325;1527;1397;3109;3063;1950;1613;1140;4246;2158
11.04.2016 00:00;1517;1664;3688;3045;2827;4286;4963;2234;4241;3434;8247;5167
12.04.2016 00:00;1467;1663;3427;3032;2832;4436;4620;1963;3943;3366;8046;5136
13.04.2016 00:00;1361;1472;2998;2794;2755;3903;4117;1756;3777;3124;7861;4696
14.04.2016 00:00;1457;1659;3285;3073;2865;4335;4471;2040;3865;3244;7795;4915
15.04.2016 00:00;1017;1119;1902;2059;1849;3024;2883;1156;2561;2137;5786;3519
16.04.2016 00:00;996;1177;2002;1576;1357;3419;2165;1172;1815;1501;5125;2652
17.04.2016 00:00;727;769;1755;1206;1241;2245;2364;1635;1416;1120;3449;1956
18.04.2016 00:00;1258;1351;2641;2509;2510;3700;3889;1612;3596;2952;6886;4382
19.04.2016 00:00;1298;1493;3057;2490;2726;4112;4133;1781;3855;3305;7807;4873
20.04.2016 00:00;1376;1502;3091;2631;2711;4059;4321;1823;3892;3175;7813;4973
21.04.2016 00:00;1505;1756;3606;2844;2955;4859;5095;2270;4148;3449;8375;5296
22.04.2016 00:00;1316;1600;3027;2742;2563;4047;4143;1781;3631;3143;7676;4533
23.04.2016 00:00;789;884;1509;1491;1273;2555;1909;1104;1861;1469;4365;2638
24.04.2016 00:00;509;481;862;882;941;1579;1344;867;1077;766;2698;1414
25.04.2016 00:00;901;969;1668;1698;1660;2510;2650;1023;2480;2050;4773;3071
26.04.2016 00:00;953;1065;1620;1690;1786;2720;2674;1083;2446;1979;5026;3045
27.04.2016 00:00;998;1137;1662;1727;1770;2686;2739;1117;2597;2074;5136;3353
28.04.2016 00:00;1086;1195;1825;1946;2022;2929;2991;1239;2719;2202;5733;3670
29.04.2016 00:00;1097;1234;2072;2184;2028;2966;3109;1197;2816;2345;5821;3763
30.04.2016 00:00;760;869;1111;1372;1140;2240;1666;971;1499;1253;3891;2248
01.05.2016 00:00;766;827;2109;1583;1407;3245;2944;2040;1616;1145;4299;2601
02.05.2016 00:00;1705;2063;4376;3257;2894;6284;5445;2310;4345;3608;9073;5531
03.05.2016 00:00;1197;1381;2640;2476;2387;3730;3600;1442;3317;2706;6939;4283
04.05.2016 00:00;1476;1535;3536;3195;2908;4607;5002;2196;4245;3548;8395;5456
05.05.2016 00:00;961;1105;4295;2367;1975;4701;4672;3054;2163;1576;5508;3150
06.05.2016 00:00;1227;1355;3521;2870;2449;4373;4532;1929;3066;2618;7028;4304
07.05.2016 00:00;1045;1190;3917;2494;2074;4693;5179;2223;2509;2108;6524;3779
08.05.2016 00:00;877;990;3628;1905;1911;3657;4795;2515;2022;1492;5178;2653
09.05.2016 00:00;1585;1760;4478;3627;3295;5150;6139;2563;4612;3826;9109;5121
10.05.2016 00:00;1715;1850;4962;3760;3543;5782;6536;2796;4770;4082;9895;5986
11.05.2016 00:00;1687;1920;4767;3757;3441;5613;6121;2697;4535;3934;9713;6040
12.05.2016 00:00;1639;1856;4546;3778;3375;5500;6054;2728;4669;3994;9537;6119
13.05.2016 00:00;1518;1697;4269;3326;3004;4876;5347;2173;4027;3417;8844;5574
14.05.2016 00:00;892;1139;1911;1339;1160;3652;1825;974;1566;1233;4896;2736
15.05.2016 00:00;396;388;769;740;765;1325;1098;621;863;564;2181;1234
16.05.2016 00:00;628;697;1541;1074;1030;2037;2089;1349;1257;859;3065;1753
17.05.2016 00:00;1217;1350;2517;2372;2424;3463;3690;1604;3401;2755;6924;4498
18.05.2016 00:00;1506;1521;3584;3243;2983;4755;5152;2195;4162;3601;8616;5378
19.05.2016 00:00;1560;1769;3796;3418;3094;5061;5442;2358;4391;3702;9322;5420
20.05.2016 00:00;1338;1501;3121;3046;2705;4206;4284;1829;3701;3233;8421;5123
21.05.2016 00:00;1043;1190;2983;2312;1915;4190;3897;2011;2607;2081;6410;3580
22.05.2016 00:00;898;1024;3052;1676;1668;3129;3673;2335;1882;1414;4649;2490
23.05.2016 00:00;1279;1380;2503;2394;2462;3579;1731;1598;3321;2730;6521;4165
24.05.2016 00:00;1369;1448;2709;2504;2704;3740;1825;1662;3529;3054;7584;4652
25.05.2016 00:00;1481;1590;3226;2803;2927;4452;1792;2073;3951;3406;8314;5022
26.05.2016 00:00;1524;1740;3452;3244;3178;4433;3213;2201;4656;3506;7896;5334
27.05.2016 00:00;1524;1718;3776;3434;2998;4767;4548;2237;4013;3640;8508;5167
28.05.2016 00:00;1170;1290;3378;2550;2206;4369;3889;2046;2584;2214;6135;3779
29.05.2016 00:00;549;512;1140;1051;1096;2137;1587;880;1546;766;3040;1683
30.05.2016 00:00;1299;1425;3300;2998;2693;4007;4262;1890;3646;3144;7604;4671
31.05.2016 00:00;1505;1668;3827;3322;3092;4615;5023;2156;4161;252;8538;5206
01.06.2016 00:00;1455;1593;3356;3105;2931;4550;4706;2047;4044;7;8350;4440
02.06.2016 00:00;1551;1778;3911;3200;3015;5463;5161;2372;4095;2;8736;5195
03.06.2016 00:00;1528;1786;4373;3603;3217;5142;5867;2560;4394;2;9275;5414
04.06.2016 00:00;1241;1368;4490;2814;2094;5482;5471;2609;2813;0;7385;4433
05.06.2016 00:00;1055;1208;5134;2134;1945;4544;6184;3030;2107;0;5952;2994
06.06.2016 00:00;1482;1662;4357;3468;3110;5088;5778;2356;4161;36;8751;5413
07.06.2016 00:00;1585;1768;4362;3678;3463;5480;6241;2575;4625;17;9709;5764
08.06.2016 00:00;1524;1717;4087;3522;3285;5133;5125;1582;4431;;8760;5554
09.06.2016 00:00;1553;1873;3906;3539;3126;5360;5583;2630;4533;;9533;5730
10.06.2016 00:00;1601;1703;4231;3432;3050;4937;5248;2455;4255;;9468;5766
11.06.2016 00:00;1211;1290;3065;2425;1958;4383;4146;1939;3153;;7461;4286
12.06.2016 00:00;936;989;2232;1966;1585;3330;3126;1557;2309;;5748;3452
13.06.2016 00:00;1164;1252;2465;2441;2265;3639;3601;1396;3579;;6599;4119
14.06.2016 00:00;1176;1348;2452;2618;2371;3721;3833;1464;3269;;6942;4220
15.06.2016 00:00;1405;1501;3205;2922;2777;4339;4605;1798;3878;;8263;5067
16.06.2016 00:00;1577;1764;3403;3471;3115;4815;4970;2205;4235;;8807;5416
17.06.2016 00:00;1346;1485;2899;2885;2574;4210;4152;1666;3643;;7576;4788
18.06.2016 00:00;1019;1134;2273;1993;1729;3248;3039;1409;2572;;5448;3479
19.06.2016 00:00;796;847;2051;1265;1632;2700;3050;1426;1865;;4129;2571
20.06.2016 00:00;1367;1464;3880;3055;2652;4666;4444;1801;3946;;8013;5039
21.06.2016 00:00;1487;1676;3631;3246;2955;4737;4939;2256;4035;;8493;5276
22.06.2016 00:00;1608;1832;4344;3610;3209;5403;5955;2466;4379;;9734;5752
23.06.2016 00:00;1597;1567;4865;3422;3271;5576;6786;2489;4106;;9191;5652
24.06.2016 00:00;943;1069;2037;1941;1713;2964;2954;1153;2173;;5452;3270
25.06.2016 00:00;483;525;897;1167;859;1706;1260;549;1063;;2809;1844
26.06.2016 00:00;764;835;2044;1489;1297;2506;2719;1815;1506;;3819;2067
27.06.2016 00:00;1178;1275;2837;31;2296;3521;3795;1609;3283;;6634;4379
28.06.2016 00:00;1344;1546;3526;0;2851;4237;4841;2148;3773;;7824;4980
29.06.2016 00:00;1167;1336;2564;0;2369;3587;3725;1675;3216;;6456;4210
30.06.2016 00:00;1190;1328;2454;0;2359;3420;3614;1649;3125;;6082;4305
01.07.2016 00:00;1035;1147;2421;0;2232;3297;3396;1540;3142;;5706;4086
02.07.2016 00:00;730;797;1646;0;1261;2127;2080;1115;1670;;3866;2456
03.07.2016 00:00;673;727;2136;0;1239;2164;2232;1557;1352;;3255;1941
04.07.2016 00:00;1221;1400;3499;0;2525;3819;4610;2022;3273;;6938;4403
05.07.2016 00:00;1100;1197;2507;0;2324;3257;3509;1542;3056;;5903;4050
06.07.2016 00:00;1112;1253;2594;0;2223;3650;3561;1587;2475;;6296;4113
07.07.2016 00:00;1380;1547;3543;0;2921;4288;4877;2246;2481;;7802;5042
08.07.2016 00:00;958;888;2289;0;2069;3059;3010;1305;2493;;5713;3637
09.07.2016 00:00;836;946;2722;0;1719;1928;3101;1973;2009;;5086;3199
10.07.2016 00:00;735;834;3008;0;1683;1268;4158;2248;1524;;4323;2532
11.07.2016 00:00;1070;1241;3196;0;2364;177;4142;1798;3011;;6409;4248
12.07.2016 00:00;1083;1185;2875;2246;2311;1;3901;1645;2903;;6523;4129
13.07.2016 00:00;1149;1321;3121;2550;2183;1;4023;1606;2949;;8041;4348
14.07.2016 00:00;1177;1260;2809;2603;2176;0;3672;1569;2861;;7852;4392
15.07.2016 00:00;1027;1199;2782;2392;2076;4;3556;1379;2661;;7509;4090
16.07.2016 00:00;878;991;2514;1793;1451;0;2742;1231;2091;;6634;3334
17.07.2016 00:00;875;1033;3630;1729;1544;0;3811;1985;1935;;6662;3082
